seed,schedule,phase,local_offset,global_step,dataset,n_weighted_rows,correct_weighted_rows,exact_empirical_accuracy,weighted_binary_cross_entropy,reconstructed_from_canonical_logits_and_frozen_integer_weights
577,p_q_y,component_1_P,0,0,component_P,9216,3168,0.34375,0.7166778389064068,True
577,p_q_y,component_1_P,0,0,component_Q,9216,4320,0.46875,0.697859126803183,True
577,p_q_y,component_1_P,0,0,component_Y,9216,4608,0.5,0.6919377289233098,True
577,p_q_y,component_1_P,0,0,three_component_pool,27648,12096,0.4375,0.7021582315443,True
577,p_q_y,component_1_P,0,0,concordant_washout,9216,2880,0.3125,0.7180091612625044,True
577,p_q_y,component_1_P,1,1,component_P,9216,4512,0.4895833333333333,0.6924577538362292,True
577,p_q_y,component_1_P,1,1,component_Q,9216,4224,0.4583333333333333,0.696311169648903,True
577,p_q_y,component_1_P,1,1,component_Y,9216,4512,0.4895833333333333,0.6918855562250522,True
577,p_q_y,component_1_P,1,1,three_component_pool,27648,13248,0.4791666666666667,0.6935514932367282,True
577,p_q_y,component_1_P,1,1,concordant_washout,9216,4032,0.4375,0.6928999989257814,True
577,p_q_y,component_1_P,117,117,component_P,9216,9216,1.0,0.00015787844752707027,True
577,p_q_y,component_1_P,117,117,component_Q,9216,4608,0.5,4.387761464616822,True
577,p_q_y,component_1_P,117,117,component_Y,9216,4608,0.5,4.473414980919575,True
577,p_q_y,component_1_P,117,117,three_component_pool,27648,18432,0.6666666666666666,2.9537781079946406,True
577,p_q_y,component_1_P,117,117,concordant_washout,9216,9216,1.0,0.0001363618356441596,True
577,p_q_y,component_1_P,128,128,component_P,9216,9216,1.0,0.00014775527574506912,True
577,p_q_y,component_1_P,128,128,component_Q,9216,4608,0.5,4.419214737007685,True
577,p_q_y,component_1_P,128,128,component_Y,9216,4608,0.5,4.505104781810329,True
577,p_q_y,component_1_P,128,128,three_component_pool,27648,18432,0.6666666666666666,2.9748224246979196,True
577,p_q_y,component_1_P,128,128,concordant_washout,9216,9216,1.0,0.0001280591485065182,True
577,p_q_y,component_1_P,13,13,component_P,9216,9216,1.0,0.366792722632006,True
577,p_q_y,component_1_P,13,13,component_Q,9216,4608,0.5,0.7638870080701989,True
577,p_q_y,component_1_P,13,13,component_Y,9216,4608,0.5,0.7869783931769467,True
577,p_q_y,component_1_P,13,13,three_component_pool,27648,18432,0.6666666666666666,0.6392193746263838,True
577,p_q_y,component_1_P,13,13,concordant_washout,9216,9216,1.0,0.3585020455542176,True
577,p_q_y,component_1_P,161,161,component_P,9216,9216,1.0,0.0001221801998437209,True
577,p_q_y,component_1_P,161,161,component_Q,9216,4608,0.5,4.510261646906993,True
577,p_q_y,component_1_P,161,161,component_Y,9216,4608,0.5,4.5966359421324405,True
577,p_q_y,component_1_P,161,161,three_component_pool,27648,18432,0.6666666666666666,3.0356732564130926,True
577,p_q_y,component_1_P,161,161,concordant_washout,9216,9216,1.0,0.0001067629443698483,True
577,p_q_y,component_1_P,17,17,component_P,9216,9216,1.0,0.2220230645291909,True
577,p_q_y,component_1_P,17,17,component_Q,9216,4608,0.5,0.9119748240783232,True
577,p_q_y,component_1_P,17,17,component_Y,9216,4608,0.5,0.9495048615840003,True
577,p_q_y,component_1_P,17,17,three_component_pool,27648,18432,0.6666666666666666,0.6945009167305047,True
577,p_q_y,component_1_P,17,17,concordant_washout,9216,9216,1.0,0.2169645875932379,True
577,p_q_y,component_1_P,2,2,component_P,9216,6816,0.7395833333333334,0.6705700045861176,True
577,p_q_y,component_1_P,2,2,component_Q,9216,4800,0.5208333333333334,0.695483783415376,True
577,p_q_y,component_1_P,2,2,component_Y,9216,5088,0.5520833333333334,0.6925122327315618,True
577,p_q_y,component_1_P,2,2,three_component_pool,27648,16704,0.6041666666666666,0.6861886735776851,True
577,p_q_y,component_1_P,2,2,concordant_washout,9216,7488,0.8125,0.6703588466869126,True
