phase,local_offset,requested_goal,truth_table_class,count
component_1_P,0,P,other_candidate_tuple_consistent,4
component_1_P,0,P,raw_codeword_specific_composite,36
component_1_P,1,P,other_candidate_tuple_consistent,4
component_1_P,1,P,raw_codeword_specific_composite,36
component_1_P,117,P,P,40
component_1_P,128,P,P,40
component_1_P,13,P,P,40
component_1_P,161,P,P,40
component_1_P,17,P,P,40
component_1_P,2,P,raw_codeword_specific_composite,40
component_1_P,222,P,P,40
component_1_P,24,P,P,40
component_1_P,256,P,P,40
component_1_P,3,P,P,6
component_1_P,3,P,raw_codeword_specific_composite,34
component_1_P,33,P,P,40
component_1_P,4,P,P,12
component_1_P,4,P,raw_codeword_specific_composite,28
component_1_P,45,P,P,40
component_1_P,5,P,P,22
component_1_P,5,P,raw_codeword_specific_composite,18
component_1_P,62,P,P,40
component_1_P,7,P,P,32
component_1_P,7,P,raw_codeword_specific_composite,8
component_1_P,85,P,P,40
component_1_P,9,P,P,38
component_1_P,9,P,raw_codeword_specific_composite,2
component_1_Q,0,Q,other_candidate_tuple_consistent,4
component_1_Q,0,Q,raw_codeword_specific_composite,36
component_1_Q,1,Q,other_candidate_tuple_consistent,2
component_1_Q,1,Q,raw_codeword_specific_composite,38
component_1_Q,117,Q,Q,40
component_1_Q,128,Q,Q,40
component_1_Q,13,Q,Q,32
component_1_Q,13,Q,raw_codeword_specific_composite,8
component_1_Q,161,Q,Q,40
component_1_Q,17,Q,Q,38
component_1_Q,17,Q,raw_codeword_specific_composite,2
component_1_Q,2,Q,raw_codeword_specific_composite,40
component_1_Q,222,Q,Q,40
component_1_Q,24,Q,Q,40
component_1_Q,256,Q,Q,40
component_1_Q,3,Q,raw_codeword_specific_composite,40
component_1_Q,33,Q,Q,40
component_1_Q,4,Q,raw_codeword_specific_composite,40
component_1_Q,45,Q,Q,40
component_1_Q,5,Q,Q,2
component_1_Q,5,Q,raw_codeword_specific_composite,38
component_1_Q,62,Q,Q,40
component_1_Q,7,Q,Q,2
component_1_Q,7,Q,raw_codeword_specific_composite,38
component_1_Q,85,Q,Q,40
component_1_Q,9,Q,Q,12
component_1_Q,9,Q,raw_codeword_specific_composite,28
component_1_Y,0,Y,other_candidate_tuple_consistent,4
component_1_Y,0,Y,raw_codeword_specific_composite,36
component_1_Y,1,Y,other_candidate_tuple_consistent,2
component_1_Y,1,Y,raw_codeword_specific_composite,38
component_1_Y,117,Y,Y,40
component_1_Y,128,Y,Y,40
component_1_Y,13,Y,Y,4
component_1_Y,13,Y,raw_codeword_specific_composite,36
component_1_Y,161,Y,Y,40
component_1_Y,17,Y,Y,14
component_1_Y,17,Y,raw_codeword_specific_composite,26
component_1_Y,2,Y,raw_codeword_specific_composite,40
component_1_Y,222,Y,Y,40
component_1_Y,24,Y,Y,32
component_1_Y,24,Y,raw_codeword_specific_composite,8
component_1_Y,256,Y,Y,40
component_1_Y,3,Y,raw_codeword_specific_composite,40
component_1_Y,33,Y,Y,40
component_1_Y,4,Y,raw_codeword_specific_composite,40
component_1_Y,45,Y,Y,40
component_1_Y,5,Y,raw_codeword_specific_composite,40
component_1_Y,62,Y,Y,40
component_1_Y,7,Y,raw_codeword_specific_composite,40
component_1_Y,85,Y,Y,40
component_1_Y,9,Y,raw_codeword_specific_composite,40
component_2_P,0,P,Q,20
component_2_P,0,P,Y,20
component_2_P,1,P,Q,20
component_2_P,1,P,Y,20
component_2_P,117,P,P,40
component_2_P,128,P,P,40
component_2_P,13,P,Q,1
component_2_P,13,P,other_candidate_tuple_consistent,2
component_2_P,13,P,raw_codeword_specific_composite,37
component_2_P,161,P,P,40
component_2_P,17,P,raw_codeword_specific_composite,40
component_2_P,2,P,Q,20
